EmployeeID,Department,Gender,Age,YearsExperience,Salary,PerformanceScore,SatisfactionScore
1001,Engineering,Male,51,30,83802.07,6.9,7.3
1002,Engineering,Male,49,24,104206.77,6.7,
1003,Marketing,Male,52,31,62660.93,8.9,5.0
1004,Engineering,Male,54,30,96864.72,6.7,
1005,Marketing,Female,52,30,50768.13,9.1,4.1
1006,Marketing,Female,42,18,63425.06,6.9,6.0
1007,Finance,Male,38,16,64268.22,5.4,6.8
1008,Sales,Male,27,5,46486.52,7.8,7.9
1009,HR,Male,25,0,35431.3,7.5,7.5
1010,Finance,Female,59,34,84405.91,6.9,6.9
1011,HR,Female,53,28,31242.6,7.2,8.4
1012,Engineering,Female,32,8,86562.13,4.0,8.4
1013,Finance,Male,53,28,89471.92,8.9,2.5
1014,Sales,Female,37,15,65549.54,7.7,5.5
1015,Finance,Male,27,4,52816.67,8.1,8.1
1016,Marketing,Male,47,26,71864.57,6.2,5.1
1017,Sales,Male,31,6,60353.48,8.1,4.6
1018,Engineering,Female,28,7,92270.29,10.0,6.7
1019,Engineering,Male,45,24,85655.47,4.6,6.5
1020,Sales,Female,24,0,64383.29,9.4,7.7
1021,Marketing,Male,44,22,68139.79,4.7,8.4
1022,Engineering,Female,30,8,74604.7,7.0,5.5
1023,HR,Female,34,10,44520.93,6.0,5.2
1024,Engineering,Male,47,24,89051.29,4.7,5.6
1025,Sales,Male,51,28,69762.69,8.7,9.3
1026,HR,Male,57,36,67086.28,6.7,4.9
1027,HR,Male,21,0,52828.92,6.1,6.9
1028,Sales,Male,23,1,44868.1,5.1,7.5
1029,Engineering,Male,27,6,81943.66,7.3,5.1
1030,Engineering,Male,32,11,76074.36,7.7,7.1
1031,Finance,Male,34,10,70723.83,7.7,7.9
1032,Marketing,Female,21,0,44327.07,5.6,6.2
1033,Engineering,Female,21,0,79143.81,6.0,6.4
1034,Finance,Female,44,22,84454.08,6.9,7.1
1035,Engineering,Female,56,35,89863.53,6.1,6.0
1036,HR,Male,29,7,58345.3,7.6,7.6
1037,Sales,Female,35,14,69030.43,7.3,8.7
1038,Sales,Male,47,26,53752.62,5.7,6.5
1039,Sales,Male,24,2,69817.51,4.4,8.3
1040,Finance,Male,40,18,83821.3,7.5,6.1
1041,Sales,Male,31,9,49092.67,5.4,7.7
1042,Engineering,Female,45,24,89896.6,7.0,5.4
1043,Sales,Male,51,28,57312.5,6.4,4.0
1044,Finance,Male,48,24,80678.08,5.0,3.5
1045,Engineering,Female,47,26,66067.9,8.4,7.3
1046,Sales,Male,59,37,62317.57,6.0,5.1
1047,Finance,Female,28,6,68734.85,8.2,7.0
1048,Finance,Female,51,29,114005.92,8.6,8.3
1049,Engineering,Male,44,21,75642.16,6.8,5.7
1050,Engineering,Female,35,10,73713.09,7.9,3.9
1051,Sales,Female,44,20,66557.94,6.9,8.7
1052,Sales,Male,42,18,43218.65,5.4,10.0
1053,HR,Female,27,2,45500.94,6.4,5.5
1054,Finance,Male,30,6,81108.54,8.0,6.0
1055,Marketing,Male,56,31,75637.27,9.2,5.8
1056,Engineering,Male,33,12,98288.59,6.1,7.4
1057,Finance,Female,38,16,60651.73,4.3,
1058,Sales,Female,40,15,65045.52,4.5,6.0
1059,Engineering,Female,23,0,88028.03,8.0,10.0
