SepalLength,SepalWidth,PetalLength,PetalWidth,Species
5.01,3.93,1.38,0.27,setosa
5.48,3.71,1.57,0.36,setosa
5.43,3.64,1.55,0.31,setosa
4.82,3.55,1.48,0.19,setosa
4.9,3.76,1.46,0.18,setosa
4.82,2.89,1.28,0.45,setosa
5.2,3.63,1.42,0.33,setosa
4.98,3.63,1.71,0.43,setosa
5.26,2.73,1.47,0.46,setosa
4.35,3.53,1.26,0.17,setosa
5.55,3.3,1.73,0.29,setosa
4.97,3.7,1.59,0.3,setosa
5.24,3.23,1.86,0.31,setosa
4.95,3.39,1.51,0.3,setosa
4.87,3.53,1.42,0.27,setosa
5.16,3.07,1.25,0.27,setosa
5.29,3.63,1.73,0.1,setosa
4.93,3.36,1.94,0.23,setosa
4.95,3.59,1.36,0.18,setosa
5.24,3.2,1.39,0.26,setosa
4.7,3.81,1.6,0.2,setosa
4.47,3.63,1.36,0.31,setosa
5.14,3.33,1.45,0.33,setosa
4.77,3.64,1.44,0.28,setosa
4.33,3.88,1.53,0.28,setosa
4.72,4.08,1.69,0.26,setosa
4.84,2.8,1.5,0.21,setosa
4.58,3.74,1.66,0.23,setosa
4.48,3.58,1.43,0.2,setosa
5.01,3.36,1.56,0.29,setosa
5.31,3.02,1.14,0.25,setosa
4.92,3.88,1.25,0.31,setosa
4.74,2.92,1.64,0.12,setosa
5.13,3.62,1.4,0.34,setosa
5.25,3.89,1.6,0.17,setosa
4.89,2.79,1.59,0.18,setosa
5.19,3.29,1.72,0.23,setosa
5.37,2.9,1.64,0.19,setosa
4.93,3.49,1.67,0.28,setosa
4.72,3.98,1.48,0.19,setosa
5.12,4.17,1.38,0.14,setosa
5.09,2.72,1.38,0.17,setosa
5.38,3.18,1.42,0.38,setosa
4.55,3.67,1.31,0.25,setosa
4.77,4.0,1.41,0.13,setosa
4.71,3.56,1.48,0.25,setosa
4.39,3.12,1.54,0.1,setosa
5.04,3.51,1.44,0.43,setosa
5.18,3.39,1.17,0.1,setosa
4.74,3.32,1.49,0.3,setosa
6.17,3.09,4.37,1.51,versicolor
5.17,3.02,3.76,1.39,versicolor
6.05,3.12,4.49,1.37,versicolor
6.4,2.68,6.0,0.81,versicolor
6.13,3.03,3.7,1.25,versicolor
6.03,3.43,4.46,1.41,versicolor
6.37,3.05,4.15,1.62,versicolor
5.98,2.61,4.39,1.67,versicolor
6.07,2.99,3.45,1.59,versicolor
5.84,3.19,3.76,1.07,versicolor
6.22,2.91,4.52,0.86,versicolor
5.43,2.63,4.28,1.41,versicolor
6.3,3.28,5.07,1.31,versicolor
5.65,2.41,3.97,1.49,versicolor
5.35,2.96,4.38,1.27,versicolor
6.08,2.79,5.67,1.34,versicolor
6.75,2.43,3.94,1.0,versicolor
6.38,3.18,3.88,1.39,versicolor
5.64,2.91,4.28,1.21,versicolor
6.25,2.44,4.28,1.37,versicolor
5.67,2.99,4.7,1.39,versicolor
5.84,2.67,4.36,1.28,versicolor
5.94,2.21,3.94,1.36,versicolor
4.74,2.59,4.4,1.3,versicolor
6.0,2.88,5.54,1.45,versicolor
5.39,3.0,4.9,1.4,versicolor
5.55,2.85,2.99,1.19,versicolor
5.16,2.81,4.23,1.18,versicolor
5.14,2.95,3.89,1.65,versicolor
5.43,2.73,4.59,1.28,versicolor
6.31,3.16,4.22,1.5,versicolor
6.73,2.85,5.21,1.38,versicolor
5.89,2.89,4.74,1.19,versicolor
6.45,2.97,4.72,1.15,versicolor
5.77,2.47,4.39,1.32,versicolor
4.94,2.58,4.28,1.35,versicolor
5.97,3.27,4.46,1.42,versicolor
6.12,2.9,4.91,1.05,versicolor
5.69,2.71,4.55,1.18,versicolor
6.05,2.91,4.13,1.28,versicolor
6.19,2.65,4.9,1.62,versicolor
5.47,2.89,4.39,0.83,versicolor
5.16,2.59,4.26,1.39,versicolor
5.79,2.89,3.93,1.19,versicolor
5.79,2.31,4.03,1.39,versicolor
5.72,3.21,4.0,1.2,versicolor
6.39,2.64,2.99,1.37,versicolor
6.76,2.31,4.78,1.61,versicolor
5.69,2.73,4.57,1.37,versicolor
6.25,2.68,4.2,1.39,versicolor
6.84,3.14,5.63,2.29,virginica
6.12,2.88,4.93,1.9,virginica
6.95,2.9,4.94,2.09,virginica
6.47,3.35,5.05,2.36,virginica
6.08,3.54,5.69,1.9,virginica
6.58,3.09,5.66,1.84,virginica
6.45,2.94,5.09,2.0,virginica
7.08,3.18,5.91,2.16,virginica
6.57,2.4,5.93,2.13,virginica
6.26,2.99,5.6,2.04,virginica
7.53,2.66,6.07,2.15,virginica
7.23,3.76,5.34,1.57,virginica
7.41,3.23,5.44,1.77,virginica
6.99,3.05,5.76,2.04,virginica
6.53,2.94,5.48,1.75,virginica
6.33,2.2,5.94,1.64,virginica
6.42,3.23,4.81,1.67,virginica
7.21,3.52,6.28,1.75,virginica
6.67,2.77,5.07,1.95,virginica
5.65,3.22,5.41,1.72,virginica
6.57,3.23,4.74,2.06,virginica
5.69,2.5,5.83,2.46,virginica
6.71,3.3,6.2,1.96,virginica
5.83,3.43,6.09,2.34,virginica
5.79,3.07,5.96,2.08,virginica
6.68,2.98,4.64,1.7,virginica
6.55,3.25,5.07,1.93,virginica
5.54,2.51,5.25,1.73,virginica
7.08,3.03,4.99,2.21,virginica
7.98,3.34,6.12,1.69,virginica
5.65,2.6,5.6,2.36,virginica
7.76,3.32,5.49,2.16,virginica
6.16,2.87,5.77,1.45,virginica
6.28,2.33,4.98,2.21,virginica
6.49,2.97,5.0,2.42,virginica
5.68,2.69,5.02,1.79,virginica
